Name,"On Hand",Available,Reserved,SKU,Bin,Warehouse,Backorder,"Sell Ahead","On Order","Pending Return"
"Mila | Synthetic Lace Front Wig (Mono Top) 12FS8",4,3,0,JR5399_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,1,0
"Alexis | Synthetic Wig 14/26S10",4,4,0,JR5725_27,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Notch | Synthetic Hair Topper (Double Mono Top) 24B/27C",4,4,0,JR5970_14,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Notch | Synthetic Hair Topper (Double Mono Top) FS4/33/30A",4,4,0,JR5970_33,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Alessandra | Synthetic Lace Front Wig (Mono Top) 24B22",4,4,0,JR5982_13,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Rachel | Synthetic Lace Front Wig (Hand-Tied) 1B",4,4,0,JR5984_09,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Rachel | Synthetic Lace Front Wig (Hand-Tied) 6",4,4,0,JR5984_24,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Style 12"" | Synthetic Hair Topper (Mono Top) 6",4,4,0,JR5991_03,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Miranda | Synthetic Lace Front Wig (Mono Part) 24BT18S8",4,4,0,JR5996_13,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Miranda | Synthetic Lace Front Wig (Mono Part) 27T613S8",4,4,0,JR5996_16,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Smart 12"" | Lace Front Synthetic Hair Topper 6F27",4,4,0,JR6000_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
